VARIABLE AA;LIBELLE ACTUEL;NOUVEAU LIBELLE;NOM TECHNIQUE;
event211;Desactivation toggle etalement des paiements;Comptes - Désactivation toggle etalement des paiements (event211);event.event_name;
event213;Personnalisation d'un compte (event213);Comptes - Personnalisation du libellé du compte (event213);event.event_name;
event214;Ajout d'un tag sur une operation (event214);Comptes - Ajout d'un tag sur une operation (event214);event.event_name;
event274;Usage filtre avancé (event274);Comptes - Usage filtre avancé (event274);event.event_name;
event277;Présence tuile RAVE sur synthèse des comptes (event277);Comptes - Présence tuile RAVE sur synthèse des comptes (event277);event.event_name;
event278;Décrochage RAVE sur synthèse des comptes (event278);Comptes - Décrochage RAVE sur synthèse des comptes (event278);event.event_name;
event282;Export detail opération (event282);Comptes - Export detail opération (event282);event.event_name;
event284;Proposition Crédit renoulable (event284);Comptes - Proposition Crédit renoulable (event284);event.event_name;
event285;Affichage RIB IBAN (event285);Comptes - Affichage RIB IBAN (event285);event.event_name;
event289;Eligibilité opération proposition assurance (event289);Comptes - Eligibilité opération proposition assurance (event289);event.event_name;
event336;Validation de saisie du texte de caution (event336);Comptes -Validation de saisie tapuscrite (event336);event.event_name;
event36;Montant transaction reportee (event36);Comptes - montant transaction reportee (event36);event.event_name;
event71;Nombre de comptes;Comptes - Nombre de comptes (event71);event.event_name;
event72;Nombre de comptes désynchronisés ;Comptes - Nombre de comptes désynchronisés (event72);event.event_name;
prop45;Total nombre de compte détenus;Comptes - Total nombre de comptes détenus (prop45);custom.nombreComptes;
prop69;Etalement de paiement;Comptes - Dépense éligible à l'étalement des paiements;custom.etalerPaiement;
event254;Consultation scan de cheques (event254);B2B - consultation scan de cheques (event254);event.event_name;
event255;Pointage d'une opération (event255);B2B - pointage operation (event255);event.event_name;
evar22;Type du compte (evar22);Comptes - Type du compte (evar22);;
evar120;Statut de notifications;Fil de notifications - Critères du parcours (evar120);custom.statutNotification;
event249;Nombre de notifications (event249);Nombre de notifications (event249);event.event_name;
event358;Décrochage club sociétaire (event358);Comptes - Décrochage club sociétaire (event358);event.event_name;
event315;Mode Tableau (event315);Comptes - Mode tableau (event315);event.event_name;
event316;Mode Liste (event316);Comptes - Mode liste (event 316);event.event_name;
event317;Tri par etablissement (event317);Comptes - Tri par établissement (event317);event.event_name;
event318;Tri par type (event318);Comptes - Tri par type (event318);event.event_name;
event319;Tri par societe (event319);Comptes - Tri par société (event319);event.event_name;
event236;Eligibilité partenaire Papernest (event236);Comptes - Éligibilité partenaire Papernest (event236);event.event_name;
evar187;Produit détenu VS non détenu (evar187);Produit détenu VS non détenu (evar187);custom.statutDetentionProduit;
event230;Decrochage partenaire (event230);Decrochage partenaire (event230);event.event_name;
prop55;Ordre items personnalisation de la synthèse (prop55);Ordre items personnalisation de la synthèse (prop55);custom.personnalisationSynthese;
evar61;Type de décrochage assistant (evar61);Assistant IA - Type de décrochage assistant (evar61);;
event294;Décrochage assistant (event294);Assistant IA - Décrochage assistant (event294);event.event_name;
event345;Succès réponse assistant IA (event345);Assistant IA - Succès réponse assistant IA (event345);event.event_name;
prop38;Type de réponse (prop38);Assistant IA - Type de réponse (prop38);;
event333;Vote positif (event333);Vote positif (event333);event.event_name;
